Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"García-Peraza-Herrera, Luis C; Li, Wenqi; Gruijthuijsen, Caspar; Devreker, Alain; Attilakos, George; Deprest, Jan; Vander Poorten, Emmanuel; Stoyanov, Danail; Vercauteren, Tom; Ourselin, Sébastien; ",Real-time segmentation of non-rigid surgical tools based on deep learning and tracking,"Computer-Assisted and Robotic Endoscopy: Third International Workshop, CARE 2016, Held in Conjunction with MICCAI 2016, Athens, Greece, October 17, 2016, Revised Selected Papers 3",,,84-95,2017,Springer
"Solanky, Bhavana S; Prados, Ferran; Tur, Carmen; Yiannakas, Marios C; Kanber, Baris; Cawley, Niamh; Brownlee, Wallace; Ourselin, Sebastien; Golay, Xavier; Ciccarelli, Olga; ",Sodium in the relapsing–remitting multiple sclerosis spinal cord: increased concentrations and associations with microstructural tissue anisotropy,Journal of Magnetic Resonance Imaging,52,5,1429-1438,2020,Wiley Online Library
"Devreker, Alain; Rosa, Benoit; Desjardins, Adrien; Alles, Erwin J; Garcia-Peraza, Luis C; Maneas, Efthymios; Stoyanov, Danail; David, Anna L; Vercauteren, Tom; Deprest, Jan; ",Fluidic actuation for intra-operative in situ imaging,2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,1415-1421,2015,IEEE
"Cash, David M; Veale, Thomas; Poole, Teresa; Modat, Marc; Molteni, Erika; Cardoso, M Jorge; Benzinger, Tammie LS; Jack Jr, Clifford R; McDade, Eric; Bateman, Randall J; ",IC‐P‐048: SAMPLE SIZE ESTIMATES FOR SECONDARY PREVENTION STUDIES USING REGIONAL ATROPHY RATES,Alzheimer's & Dementia,14,7S_Part_1,P47-P48,2018,Wiley Online Library
"Keihaninejad, Shiva; Zhang, Hui; Ryan, Natalie S; Malone, Ian B; Modat, Marc; Cardoso, M Jorge; Cash, David M; Fox, Nick C; Ourselin, Sebastien; ",An unbiased longitudinal analysis framework for tracking white matter changes using diffusion tensor imaging with application to Alzheimer's disease,Neuroimage,72,,153-163,2013,Elsevier
"Wang, Guotai; Li, Wenqi; Aertsen, Michael; Deprest, Jan; Ourselin, Sebastien; Vercauteren, Tom; ",Test-time augmentation with uncertainty estimation for deep learning-based medical image segmentation,,,,,2018,
"Prima, Sylvain; Ourselin, Sébastien; Ayache, Nicholas; ",Computation of the mid-sagittal plane in 3D medical images of the head,,,,,1999,INRIA
"Legrand, Julie; Ourak, Mouloud; Vandebroek, Tom; Javaux, Allan; Denis, Kathleen; Vercauteren, Tom; Stoyanov, Dan; Deprest, Jan; Ourselin, Sebastien; Vander Poorten, Emmanuel; ",Single-hand Operation of an Active Flexible Endoscope for Intrauterine Fetal Surgery,"8th World Congress of Biomechanics, Date: 2018/07/08-2018/07/12, Location: Dublin",,,,2018,
"Shapey, Jonathan; Xie, Yijing; Nabavi, Eli; Bradford, Robert; Saeed, Shakeel R; Ourselin, Sebastien; Vercauteren, Tom; ",Intraoperative multispectral and hyperspectral label‐free imaging: A systematic review of in vivo clinical studies,Journal of biophotonics,12,9,e201800455,2019,Wiley Online Library
"Solanky, Bhavana S; Da Mota, Patricia Alves; Prados, Ferran; Schneider, Torben; Riemer, Frank; Brownlee, Wallace; Grussu, Francesco; Cardoso, Manuel Jorge; Ourselin, Sebastian; Zhang, Hui; ",Combined Sodium NODDI: Towards quantitative in vivo intracellular and intraneurite sodium measures at 3T,Proc. Intl. Soc. Mag. Reson. Med,23,,4629,2015,
"Marcus, Hani J; Vercauteren, Tom; Ourselin, Sebastien; Dorward, Neil L; ",Intraoperative ultrasound in patients undergoing transsphenoidal surgery for pituitary adenoma: systematic review,World Neurosurgery,106,,680-685,2017,Elsevier
"Kifer, Domagoj; Bugada, Dario; Villar-Garcia, Judit; Gudelj, Ivan; Menni, Cristina; Sudre, Carole; Vučković, Frano; Ugrina, Ivo; Lorini, Luca F; Posso, Margarita; ",Effects of environmental factors on severity and mortality of COVID-19,Frontiers in medicine,7,,607786,2021,Frontiers Media SA
"Sari, Hasan; Erlandsson, Kjell; Barnes, Anna; Atkinson, David; Arridge, Simon; Ourselin, Sebastien; Hutton, Brian; ",Modelling the impact of injection time on the bolus shapes in PET-MRI AIF Conversion,EJNMMI physics,1,,1-3,2014,Springer
"Leung, Kelvin K; Barnes, Josephine; Modat, Marc; Ridgway, Gerard R; Bartlett, Jonathan W; Fox, Nick C; Ourselin, Sébastien; Alzheimer's Disease Neuroimaging Initiative; ","Brain MAPS: an automated, accurate and robust brain extraction technique using a template library",Neuroimage,55,3,1091-1108,2011,Elsevier
"Allan, Max; Ourselin, Sébastien; Thompson, Steve; Hawkes, David J; Kelly, John; Stoyanov, Danail; ",Toward detection and localization of instruments in minimally invasive surgery,IEEE Transactions on Biomedical Engineering,60,4,1050-1058,2012,IEEE
"Keihaninejad, Shiva; Ryan, Natalie; Malone, Ian; Leung, Kelvin; Hyare, Harpreet; Ourselin, Sebastien; Fox, Nick; ",IC‐P‐102: Automated segmentation of the thalamus for measurement of MR diffusion indices: evaluation and application to familial Alzheimer's disease,Alzheimer's & Dementia,7,,S50-S50,2011,Wiley Online Library
